beataml_drug_id,chembl_id,target_chembl_id,target_uniprot,target_name,standard_type,standard_value_nM,pIC50,assay_chembl_id
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,13400.0,4.87,CHEMBL636772
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL613834,,SK-BR-3,IC50,31.0,7.51,CHEMBL806403
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL3142,P78527,DNA-dependent protein kinase catalytic subunit,IC50,40000.0,4.4,CHEMBL662174
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL613834,,SK-BR-3,IC50,31.0,7.51,CHEMBL806578
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL3880,P07900,Heat shock protein HSP 90-alpha,IC50,1270.0,5.9,CHEMBL832973
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,1270.0,5.9,CHEMBL863358
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,1540.0,5.81,CHEMBL870734
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,17700.0,4.75,CHEMBL870044
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL394,,HCT-116,IC50,170.0,6.77,CHEMBL870045
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL613508,,DU-145,IC50,68300.0,4.17,CHEMBL911063
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL399,,HeLa,IC50,108200.0,3.97,CHEMBL911064
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,7.0,8.15,CHEMBL904863
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,700.0,6.15,CHEMBL904865
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,20.0,7.7,CHEMBL904860
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL387,,MCF7,IC50,10.0,8.0,CHEMBL904864
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL614529,,BT-474,IC50,10.0,8.0,CHEMBL904866
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,50000.0,4.3,CHEMBL904868
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,1000.0,6.0,CHEMBL904867
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL614883,,RPTEC,IC50,100.0,7.0,CHEMBL904861
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL384,,HT-29,IC50,2.0,8.7,CHEMBL904862
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL614883,,RPTEC,IC50,50000.0,4.3,CHEMBL904869
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL614883,,RPTEC,IC50,10000.0,5.0,CHEMBL904870
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,IC50,1270.0,5.9,CHEMBL943064
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL613834,,SK-BR-3,IC50,33.0,7.48,CHEMBL1021923
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL4303,P08238,Heat shock protein HSP 90-beta,Kd,1300.0,5.89,CHEMBL1021924
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL613834,,SK-BR-3,IC50,27.0,7.57,CHEMBL972976
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL3880,P07900,Heat shock protein HSP 90-alpha,Kd,200.0,6.7,CHEMBL1028139
17-AAG (Tanespimycin),CHEMBL109480,CHEMBL2095165,,Heat shock protein HSP90,Kd,240.0,6.62,CHEMBL1028140
