block_id,cell_line_id,drug1_original,drug1_id,drug1_match_source,drug2_original,drug2_id,drug2_match_source,synergy_loewe,synergy_bliss,synergy_zip,synergy_hsa,source_study
384677,HL-60,Vemurafenib,Vemurafenib (PLX-4032),exact,Vemurafenib,Vemurafenib (PLX-4032),exact,-15.0240692774418,1.36996821984658,8.80117575222769,-16.1325661091835,ALMANAC
517790,HEL,Sunitinib,Sunitinib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543474,HEL,Saracatinib,Saracatinib (AZD0530),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543483,HEL,AT7519,AT7519,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543502,HEL,Linifanib,Linifanib (ABT-869),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543509,HEL,Idelalisib,Idelalisib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543547,HEL,PI-103,PI-103,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543567,HEL,CHIR-99021,CHIR-99021,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543568,HEL,Bortezomib,Bortezomib (Velcade),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543571,HEL,BMS-754807,BMS-754807,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543573,HEL,GSK1904529A,GSK-1904529A,fuzzy,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543575,HEL,Cabozantinib,Cabozantinib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543579,HEL,Pazopanib hydrochloride,Pazopanib (GW786034),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543588,HEL,Imatinib,Imatinib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543638,HEL,roscovitine,Roscovitine (CYC-202),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543650,HEL,Akt inhibitor VIII,AKT Inhibitor IV,fuzzy,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543654,HEL,Dasatinib,Dasatinib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543659,HEL,Quizartinib,Quizartinib (AC220),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543687,HEL,Lapatinib,Lapatinib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
543703,HEL,Tozasertib,Tozasertib (VX-680),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
544780,HEL,JNK Inhibitor V,JNK Inhibitor II,fuzzy,,,no_match,0.0,0.0,0.0,0.0,GDSC1
548582,HEL,PONATINIB,Ponatinib (AP24534),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
551578,HEL,Masitinib,Masitinib (AB-1010),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
572765,HEL,Erlotinib hydrochloride,Erlotinib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
573419,HEL,Foretinib,Foretinib (XL880),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
578499,HEL,PHA-665752,PHA-665752,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
583326,HEL,Sorafenib,Sorafenib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
588206,HEL,Ruxolitinib,Ruxolitinib (INCB018424),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
591886,HEL,GW2580,GW-2580,fuzzy,,,no_match,0.0,0.0,0.0,0.0,GDSC1
605045,HEL,Tivozanib,Tivozanib (AV-951),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
608762,HEL,Pelitinib,Pelitinib (EKB-569),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
615665,HEL,(-)-Rapamycin,Rapamycin,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
648457,HEL,Olaparib,Olaparib,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
660475,HEL,Selumetinib,Selumetinib (AZD6244),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
674627,HEL,CHIR-99021,CHIR-99021,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
679139,HEL,PLX-4720,PLX-4720,exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
684415,HEL,Afatinib,Afatinib (BIBW-2992),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
701925,HEL,Trametinib,Trametinib (GSK1120212),exact,,,no_match,0.0,0.0,0.0,0.0,GDSC1
703970,HEL,Bortezomib,Bortezomib (Velcade),exact,,,no_match,0.0,0.0,0.0,0.0,GCSI
705591,HEL,Erlotinib hydrochloride,Erlotinib,exact,,,no_match,0.0,0.0,0.0,0.0,GCSI
707199,HEL,Lapatinib,Lapatinib,exact,,,no_match,0.0,0.0,0.0,0.0,GCSI
708819,HEL,(-)-Rapamycin,Rapamycin,exact,,,no_match,0.0,0.0,0.0,0.0,GCSI
802734,HEL,5-azacytidine,Azacytidine,fuzzy,,,no_match,0.0,0.0,0.0,0.0,CTRPV2
802749,HEL,lovastatin,Lovastatin,exact,,,no_match,0.0,0.0,0.0,0.0,CTRPV2
802769,HEL,Tanespimycin,17-AAG (Tanespimycin),exact,,,no_match,0.0,0.0,0.0,0.0,CTRPV2
802778,HEL,staurosporine,Staurosporine,exact,,,no_match,0.0,0.0,0.0,0.0,CTRPV2
802783,HEL,Dasatinib,Dasatinib,exact,,,no_match,0.0,0.0,0.0,0.0,CTRPV2
