block_id,cell_line_id,drug1_original,drug1_id,drug1_match_source,drug2_original,drug2_id,drug2_match_source,synergy_loewe,synergy_bliss,synergy_zip,synergy_hsa,source_study
133626,HL-60,Tamoxifen citrate,,no_match,Dasatinib,Dasatinib,exact,9.14249036556046,-1.7853574426232,0.777834315101457,-0.301329229747632,ALMANAC
134040,HL-60,CHEMBL17639,,no_match,Sunitinib,Sunitinib,exact,-38.4767847346688,-4.50312334738515,-0.820861365982048,-11.9035217984777,ALMANAC
134258,HL-60,158798-73-3,,no_match,Lapatinib,Lapatinib,exact,1.30800729437695,-1.0407013366032,1.32681606858019,-4.30444864669039,ALMANAC
134285,HL-60,Imatinib,Imatinib,exact,Zanosar,,no_match,-11.4815757748652,4.34473856002455,8.11850784791761,-10.8433317029795,ALMANAC
134300,HL-60,amifostine,,no_match,Bortezomib,Bortezomib (Velcade),exact,2.75373149189266,3.53827947441758,1.85881278481929,2.98676043883629,ALMANAC
134754,HL-60,Tamoxifen citrate,,no_match,"Azacytidine, 5-",Azacytidine,fuzzy,-13.3746639087449,-3.70895889854506,-2.72722200924507,-3.47579163720547,ALMANAC
135414,HL-60,Nilotinib,Nilotinib,exact,methoxsalen,,no_match,-1.43980570106109,3.65982525347639,2.47190321509783,-2.05438333333333,ALMANAC
135591,HL-60,Fulvestrant,,no_match,Sorafenib,Sorafenib,exact,-14.1404354166636,3.22650297199274,12.0025684906505,-16.6013295555556,ALMANAC
135595,HL-60,temozolomide,,no_match,Dasatinib,Dasatinib,exact,8.52980106156201,-3.79148916537508,-3.76867547155335,-2.36355,ALMANAC
135670,HL-60,Retinoic acid,,no_match,Sunitinib,Sunitinib,exact,-15.4621134693346,-2.13147519937293,-3.22000359594626,-8.58938795111111,ALMANAC
136521,HL-60,Nilotinib,Nilotinib,exact,122111-05-1,,no_match,-80.6453816292536,-6.58055666909875,-1.99120497627988,-11.9766653333333,ALMANAC
136607,HL-60,letrozole,,no_match,Lapatinib,Lapatinib,exact,-6.236524551444,0.477660050583809,2.88294317317614,-6.24802262444444,ALMANAC
136767,HL-60,Carboplatinum,,no_match,Lapatinib,Lapatinib,exact,-5.88642380820259,-1.91723515820794,3.80487214093375,-7.02049951111111,ALMANAC
137083,HL-60,CYTARABINE HYDROCHLORIDE,Cytarabine,exact,Sunitinib,Sunitinib,exact,-19.858754680421,1.8513667231858,-6.34348294196212,-8.01049995111111,ALMANAC
137104,HL-60,Lenalidomide,Lenalidomide,exact,methotrexate,,no_match,-18.7495748260239,0.848321718014002,3.05694755530235,0.53178277777778,ALMANAC
137171,HL-60,letrozole,,no_match,Nilotinib,Nilotinib,exact,-12.4315115721276,4.96357219030635,1.52945274963989,-8.97685476666667,ALMANAC
137289,HL-60,Vinblastine sulfate,,no_match,Erlotinib hydrochloride,Erlotinib,exact,-19.9749219812395,-7.04582470920392,3.50225699234436,-20.7811096666667,ALMANAC
137410,HL-60,Antibiotic AY 22989,,no_match,Sunitinib,Sunitinib,exact,-5.24962394819248,0.314826201052529,1.23595363062546,-4.74444232333333,ALMANAC
137728,HL-60,Lapatinib,Lapatinib,exact,Trisenox,,no_match,-14.2627708946677,2.27634984023538,0.428119479336372,4.38111655555555,ALMANAC
138321,HL-60,Vincristine sulfate,,no_match,Bortezomib,Bortezomib (Velcade),exact,-7.98243685808569,0.768875090009824,3.60614176662723,-6.57914188888889,ALMANAC
138867,HL-60,Bendamustine hydrochloride,,no_match,Erlotinib hydrochloride,Erlotinib,exact,-0.0255506064435691,-2.26381310356167,-2.14738024514927,-1.01857587777778,ALMANAC
138952,HL-60,6-Mercaptopurine,,no_match,Nilotinib,Nilotinib,exact,-6.2411261976223,-1.00617040718699,-2.67435252116822,-5.72241086666667,ALMANAC
139021,HL-60,Co-V,,no_match,Bortezomib,Bortezomib (Velcade),exact,-0.411131763690612,0.225053150075962,-3.49468194529763,-0.188794444444449,ALMANAC
139456,HL-60,Eloxatin (TN) (Sanofi Synthelab),,no_match,Bortezomib,Bortezomib (Velcade),exact,0.617673930745921,1.49452722038708,0.534186010659617,1.26898333333333,ALMANAC
139607,HL-60,Imatinib,Imatinib,exact,NSC733504,,no_match,-22.2521012636826,-0.821181302402387,11.1583554520732,-22.5288869922222,ALMANAC
139701,HL-60,temozolomide,,no_match,Lapatinib,Lapatinib,exact,-1.79641074702718,-1.70463312134446,-3.33068384645521,-2.75717204444444,ALMANAC
140024,HL-60,Lapatinib,Lapatinib,exact,55-86-7,,no_match,-21.8230180251994,-3.44067932482915,-2.66712928868481,-0.30117522222222,ALMANAC
140110,HL-60,mitotane,,no_match,Bortezomib,Bortezomib (Velcade),exact,-68.1734873985914,-0.557782378301605,1.50514440898786,-3.94999848888889,ALMANAC
140160,HL-60,CHEMBL277800,,no_match,Erlotinib hydrochloride,Erlotinib,exact,-23.7115229619621,-9.55679431654551,1.19171263173233,-14.9683074444444,ALMANAC
140724,HL-60,Nilotinib,Nilotinib,exact,NSC733504,,no_match,-8.36706519748995,-6.46823440271842,1.21989998359675,-10.2119398122222,ALMANAC
140954,HL-60,Imatinib,Imatinib,exact,Dasatinib,Dasatinib,exact,-19.5247568612251,-2.56709495482937,6.47947698336126,-17.7288865,ALMANAC
141004,HL-60,Imatinib,Imatinib,exact,NSC-127716,,no_match,-16.7357143439278,3.96873664276581,-1.35331494706625,3.39145872222222,ALMANAC
141314,HL-60,Antibiotic AD 32,,no_match,Bortezomib,Bortezomib (Velcade),exact,2.87067099663793,5.16757557127776,6.53235534610291,6.03200988888889,ALMANAC
141941,HL-60,Lapatinib,Lapatinib,exact,thalidomide,,no_match,0.0780984086115672,4.45059911605233,1.87198833094747,0.364332788888889,ALMANAC
142078,HL-60,Imatinib,Imatinib,exact,carmustine,,no_match,1.11072261143039,-1.25947111180138,-3.21679767692461,1.05799577777778,ALMANAC
142152,HL-60,raloxifene,,no_match,Nilotinib,Nilotinib,exact,-8.07240060919244,7.76603030806386,13.5043627263928,-8.91842888888889,ALMANAC
142304,HL-60,Procarbazine hydrochloride,,no_match,Erlotinib hydrochloride,Erlotinib,exact,-7.72308960453058,-7.82991872111054,-3.5016326336594,-7.22691026333333,ALMANAC
142568,HL-60,IMIQUIMOD,,no_match,Erlotinib hydrochloride,Erlotinib,exact,-14.0086855650065,-2.41967942618138,5.42765551178771,-13.9533317029795,ALMANAC
143461,HL-60,Imatinib,Imatinib,exact,Lapatinib,Lapatinib,exact,-14.6723551325408,0.309098444955621,9.48054706201022,-17.0111094807573,ALMANAC
144500,HL-60,Dasatinib,Dasatinib,exact,Vinblastine sulfate,,no_match,0.265272448154901,1.12610714166286,-1.51776153126271,1.06308104452261,ALMANAC
144574,HL-60,Nilotinib,Nilotinib,exact,carmustine,,no_match,3.76802748467602,-4.55453468694748,-2.78964692236071,-0.885527394038454,ALMANAC
144930,HL-60,methoxsalen,,no_match,Erlotinib hydrochloride,Erlotinib,exact,-14.8111380610972,0.617134737784871,7.53868783872913,-14.1244428140906,ALMANAC
145040,HL-60,letrozole,,no_match,"Azacytidine, 5-",Azacytidine,fuzzy,-21.1776393915149,1.04956424811878,4.86692051736377,-17.1955539252018,ALMANAC
