drugcomb_name,beataml_name,match_source
(-)-Rapamycin,Rapamycin,exact
ABT-737,ABT-737,exact
AT7519,AT7519,exact
AZD1480,AZD1480,exact
Afatinib,Afatinib (BIBW-2992),exact
Alisertib,Alisertib (MLN8237),exact
Axitinib,Axitinib (AG-013736),exact
BMS-754807,BMS-754807,exact
Birinapant,Birinapant,exact
Bortezomib,Bortezomib (Velcade),exact
Bosutinib,Bosutinib (SKI-606),exact
CHIR-99021,CHIR-99021,exact
CYTARABINE HYDROCHLORIDE,Cytarabine,exact
Cabozantinib,Cabozantinib,exact
Canertinib,Canertinib (CI-1033),exact
Cediranib,Cediranib (AZD2171),exact
Crizotinib,Crizotinib (PF-2341066),exact
Cyt387,CYT387,exact
Dasatinib,Dasatinib,exact
Doramapimod,Doramapimod (BIRB 796),exact
Dovitinib,Dovitinib (CHIR-258),exact
ETOMOXIR,Etomoxir,exact
Elesclomol,Elesclomol,exact
Erlotinib hydrochloride,Erlotinib,exact
Flavopiridol,Flavopiridol,exact
Foretinib,Foretinib (XL880),exact
GDC-0879,GDC-0879,exact
Gefitinib,Gefitinib,exact
Ibrutinib,Ibrutinib (PCI-32765),exact
Idelalisib,Idelalisib,exact
Imatinib,Imatinib,exact
Indisulam,Indisulam,exact
KU-55933,KU-55933,exact
KW-2449,KW-2449,exact
Lapatinib,Lapatinib,exact
Lenalidomide,Lenalidomide,exact
Lenvatinib,Lenvatinib,exact
Lestaurtinib,Lestaurtinib (CEP-701),exact
Linifanib,Linifanib (ABT-869),exact
MGCD-265,MGCD-265,exact
Masitinib,Masitinib (AB-1010),exact
Motesanib,Motesanib (AMG-706),exact
NVP-ADW742,NVP-ADW742,exact
NVP-AEW541,NVP-AEW541,exact
Neratinib,Neratinib (HKI-272),exact
Nilotinib,Nilotinib,exact
Olaparib,Olaparib,exact
PHA-665752,PHA-665752,exact
PI-103,PI-103,exact
PLX-4720,PLX-4720,exact
PONATINIB,Ponatinib (AP24534),exact
Palbociclib,Palbociclib,exact
Panobinostat,Panobinostat,exact
Pazopanib,Pazopanib (GW786034),exact
Pazopanib hydrochloride,Pazopanib (GW786034),exact
Pelitinib,Pelitinib (EKB-569),exact
Quizartinib,Quizartinib (AC220),exact
RAF265,RAF265 (CHIR-265),exact
Regorafenib,Regorafenib (BAY 73-4506),exact
Ruxolitinib,Ruxolitinib (INCB018424),exact
SGX-523,SGX-523,exact
SNS-032,SNS-032 (BMS-387032),exact
SU11274,SU11274,exact
Saracatinib,Saracatinib (AZD0530),exact
Selumetinib,Selumetinib (AZD6244),exact
Sorafenib,Sorafenib,exact
Sunitinib,Sunitinib,exact
TG100-115,TG100-115,exact
Tandutinib,Tandutinib (MLN518),exact
Tanespimycin,17-AAG (Tanespimycin),exact
Tivozanib,Tivozanib (AV-951),exact
Tozasertib,Tozasertib (VX-680),exact
Trametinib,Trametinib (GSK1120212),exact
Vandetanib,Vandetanib (ZD6474),exact
Vemurafenib,Vemurafenib (PLX-4032),exact
Venetoclax,Venetoclax,exact
Vismodegib,Vismodegib (GDC-0449),exact
lovastatin,Lovastatin,exact
roscovitine,Roscovitine (CYC-202),exact
staurosporine,Staurosporine,exact
5-azacytidine,Azacytidine,fuzzy
Akt inhibitor VIII,AKT Inhibitor IV,fuzzy
"Azacytidine, 5-",Azacytidine,fuzzy
GSK1904529A,GSK-1904529A,fuzzy
GW2580,GW-2580,fuzzy
JNK Inhibitor V,JNK Inhibitor II,fuzzy
JNK Inhibitor VIII,JNK Inhibitor II,fuzzy
nutlin-3A,Nutlin 3a,fuzzy
(-)-Epigallocatechin gallate,,no_match
"(E)-3-[4-[[[(E)-(2,3-dihydroxy-4-oxo-cyclohexa-2,5-dien-1-ylidene)methyl]amino]carbamoyl]phenyl]prop-2-enehydroxamic acid",,no_match
"(E,2S,3S,4S)-2-azaniumyl-3,4-dihydroxy-2-(hydroxymethyl)-14-oxo-icos-6-enoate",,no_match
"1-(beta-D-Ribofuranosyl)-1,2-dihydropyrimidin-2-one",,no_match
1032350-13-2,,no_match
1035072-16-2,,no_match
1080622-86-1,,no_match
1096708-71-2,,no_match
1124329-14-1,,no_match
1125758-85-1,,no_match
1130067-18-3,,no_match
1134156-31-2,,no_match
122111-05-1,,no_match
1260907-17-2,,no_match
1262770-73-9,,no_match
129-56-6,,no_match
1300031-49-5,,no_match
1402830-75-4,,no_match
153436-54-5,,no_match
158798-73-3,,no_match
164658-13-3,,no_match
16beta-Bromoandrosterone,,no_match
180002-83-9,,no_match
182498-32-4,,no_match
199433-58-4,,no_match
"2,6-Dichloro-3-fluoropyridine",,no_match
2-(allylamino)-3-chloronaphthoquinone,,no_match
212631-79-3,,no_match
219580-11-7,,no_match
23541-50-6,,no_match
280744-09-4,,no_match
284028-89-3,,no_match
"3,5-Dimethyl-4-Methoxybenzaldehyde",,no_match
3-Cl-AHPC,,no_match
301836-41-9,,no_match
305372-78-5,,no_match
314245-33-5,,no_match
315183-21-2,,no_match
32703-82-5,,no_match
331771-20-1,,no_match
356559-20-1,,no_match
371942-69-7,,no_match
391210-10-9,,no_match
3ken,,no_match
4-Chloro-3-methylphenol,,no_match
405554-55-4,,no_match
49843-98-3,,no_match
5-Aminolevulinic acid hydrochloride,,no_match
5-Fluoro-2'-deoxyuridine,,no_match
5-Fluorouracil,,no_match
500579-04-4,,no_match
501919-59-1,,no_match
503468-95-9,,no_match
547757-23-3,,no_match
55-86-7,,no_match
56990-57-9,,no_match
58131-57-0,,no_match
59662-49-6,,no_match
5Z-7-Oxozeaenol,,no_match
6-Mercaptopurine,,no_match
6-Thioguanine,,no_match
629664-81-9,,no_match
6640-09-1,,no_match
664993-53-7,,no_match
667463-62-9,,no_match
67200-34-4,,no_match
681640,,no_match
7-Ethyl-10-hydroxycamptothecin,,no_match
702675-74-9,,no_match
7440-06-4,,no_match
7440-47-3,,no_match
749872-43-3,,no_match
7507-89-3,,no_match
761439-42-3,,no_match
7803-88-5,,no_match
781661-94-7,,no_match
803712-79-0,,no_match
821794-92-7,,no_match
832115-62-5,,no_match
841290-80-0,,no_match
856243-80-6,,no_match
865362-74-9,,no_match
869288-64-2,,no_match
878739-06-1,,no_match
915019-65-7,,no_match
924296-39-9,,no_match
925434-55-5,,no_match
937174-76-0,,no_match
957054-30-7,,no_match
968,,no_match
96912-01-5,,no_match
A-443654,,no_match
A-770041,,no_match
ACADESINE,,no_match
ADM hydrochloride,,no_match
AGK2,,no_match
AM580,,no_match
APR-246,,no_match
AR-42,,no_match
AS-605240,,no_match
AT-406,,no_match
AT7867,,no_match
AVICIN D,,no_match
AZD4547,,no_match
AZD6482,,no_match
AZD7545,,no_match
AZD7762,,no_match
AZD8055,,no_match
Aacocf3,,no_match
Abiraterone,,no_match
Alectinib,,no_match
Amuvatinib,,no_match
Antibiotic AD 32,,no_match
Antibiotic AY 22989,,no_match
Austocystin D,,no_match
Avagacestat,,no_match
Avrainvillamide,,no_match
BAS 02002358,,no_match
BAY 61-3606,,no_match
BCL-LZH-4,,no_match
