stage,criterion,frozen_threshold,required_scope,action_if_failed
strict_identity,independently_validated_cell_fraction,at_least_0.20,each_patient,keep_perturbation_prediction_locked
strict_identity,validated_fraction_per_major_state,at_least_0.10,each_state_at_least_5_percent_of_patient,keep_that_patient_locked
strict_identity,conflicting_identity_fraction,at_most_0.05,each_patient,adjudicate_or_exclude_before_unblinding
strict_identity,unresolved_identity_fraction,at_most_0.30,each_patient,collect_more_identity_evidence
strict_identity,unreconciled_blast_gap_percentage_points,at_most_15,each_patient,reconcile_flow_and_sampling
single_drug_direction,evaluable_patients,at_least_3,public_retrospective_challenge,do_not_score_gate
single_drug_direction,evaluable_patient_drug_rows,at_least_12,public_retrospective_challenge,do_not_score_gate
single_drug_direction,patients_with_positive_within_patient_spearman,at_least_2,public_retrospective_challenge,do_not_unlock_combinations
single_drug_direction,median_within_patient_spearman,at_least_0.20,public_retrospective_challenge,do_not_unlock_combinations
single_drug_direction,median_increment_over_drug_mean,at_least_0.00,public_retrospective_challenge,do_not_unlock_combinations
combination_training,independent_patients,at_least_20,grouped_by_patient_training,descriptive_analysis_only
combination_training,unique_unordered_pairs,at_least_30,repeated_across_patients,descriptive_analysis_only
combination_training,median_patients_per_pair,at_least_3,repeated_across_patients,descriptive_analysis_only
combination_training,largest_patient_contribution,at_most_0.25,all_positive_dose_combo_wells,rebalance_or_collect_more_patients
clinical_translation,external_patient_heldout_gain,beats_additive_drug_mean_and_pair_mean,independent_center,do_not_release_patient_specific_scores
