patient_id,virtual_state_id,n_cells,state_fraction,is_major_state,rna_ensemble_call_coverage,dominant_identity_call,dominant_identity_purity,retrospective_state_identity_pass
patient12,VS01,3311,0.917174515235457,True,0.9344608879492601,1.0,0.7424046541693601,True
patient12,VS02,99,0.02742382271468144,False,0.050505050505050504,0.0,0.6,True
patient12,VS03,14,0.003878116343490305,False,0.8571428571428571,0.0,1.0,True
patient12,VS04,34,0.009418282548476454,False,0.5,0.0,0.5294117647058824,True
patient12,VS05,14,0.003878116343490305,False,1.0,1.0,0.8571428571428571,True
patient12,VS07,77,0.021329639889196676,False,0.961038961038961,0.0,0.9864864864864865,True
patient12,VS08,54,0.014958448753462604,False,0.48148148148148145,1.0,0.5384615384615384,True
patient12,VS09,4,0.00110803324099723,False,0.75,0.0,0.6666666666666666,True
patient12,VS12,3,0.0008310249307479224,False,0.0,,0.0,True
patient5,VS01,283,0.11966173361522199,True,0.8657243816254417,0.0,0.9673469387755103,True
patient5,VS02,72,0.03044397463002114,False,0.2222222222222222,0.0,0.75,True
patient5,VS03,69,0.029175475687103596,False,0.9130434782608695,0.0,1.0,True
patient5,VS04,2,0.0008456659619450317,False,0.5,0.0,1.0,True
patient5,VS05,2,0.0008456659619450317,False,1.0,1.0,1.0,True
patient5,VS07,65,0.02748414376321353,False,1.0,0.0,1.0,True
patient5,VS08,33,0.013953488372093023,False,0.9090909090909091,0.0,0.9666666666666667,True
patient5,VS09,1831,0.7742071881606766,True,0.8487165483342436,1.0,0.87001287001287,True
patient5,VS10,3,0.0012684989429175475,False,1.0,1.0,1.0,True
patient5,VS12,5,0.0021141649048625794,False,0.4,0.0,1.0,True
patient6,VS01,403,0.07098819799189712,True,0.9528535980148883,0.0,0.953125,True
patient6,VS02,241,0.0424519992954025,False,0.0995850622406639,0.0,0.5833333333333334,True
patient6,VS03,28,0.004932182490752158,False,0.8571428571428571,0.0,0.75,True
patient6,VS04,50,0.008807468733485996,False,0.6,0.0,0.5333333333333333,True
patient6,VS05,2643,0.4655627972520698,True,0.9462731744230042,1.0,0.9872051179528188,True
patient6,VS07,70,0.012330456226880395,False,0.9571428571428572,0.0,0.9850746268656716,True
patient6,VS08,2045,0.36022547119957726,True,0.9721271393643032,0.0,0.9849094567404426,True
patient6,VS09,19,0.0033468381187246785,False,0.8421052631578947,0.0,0.5625,True
patient6,VS10,27,0.004756033116082438,False,1.0,1.0,0.9629629629629629,True
patient6,VS12,151,0.02659855557512771,False,0.4503311258278146,0.0,0.6911764705882353,True
