patient_id,virtual_state_id,n_cells,state_fraction,is_major_state,rna_ensemble_call_coverage,dominant_identity_call,dominant_identity_purity,retrospective_state_identity_pass
patient12,VS01,3311,0.917174515235457,True,0.9903352461491997,1.0,0.7480939310765478,True
patient12,VS02,99,0.02742382271468144,False,1.0,1.0,0.9696969696969697,True
patient12,VS03,14,0.003878116343490305,False,1.0,0.0,0.9285714285714286,True
patient12,VS04,34,0.009418282548476454,False,1.0,1.0,0.8529411764705882,True
patient12,VS05,14,0.003878116343490305,False,1.0,1.0,0.9285714285714286,True
patient12,VS07,77,0.021329639889196676,False,1.0,0.0,1.0,True
patient12,VS08,54,0.014958448753462604,False,0.9259259259259259,1.0,0.86,True
patient12,VS09,4,0.00110803324099723,False,0.75,1.0,0.6666666666666666,True
patient12,VS12,3,0.0008310249307479224,False,1.0,1.0,1.0,True
patient5,VS01,283,0.11966173361522199,True,0.9681978798586572,0.0,0.8576642335766423,True
patient5,VS02,72,0.03044397463002114,False,0.7777777777777778,1.0,0.9642857142857143,True
patient5,VS03,69,0.029175475687103596,False,1.0,0.0,0.9130434782608695,True
patient5,VS04,2,0.0008456659619450317,False,1.0,1.0,1.0,True
patient5,VS05,2,0.0008456659619450317,False,1.0,1.0,1.0,True
patient5,VS07,65,0.02748414376321353,False,1.0,0.0,1.0,True
patient5,VS08,33,0.013953488372093023,False,1.0,0.0,0.7575757575757576,True
patient5,VS09,1831,0.7742071881606766,True,0.821409066084107,1.0,0.9960106382978723,True
patient5,VS10,3,0.0012684989429175475,False,1.0,1.0,1.0,True
patient5,VS12,5,0.0021141649048625794,False,0.6,1.0,1.0,True
patient6,VS01,403,0.07098819799189712,True,,,,False
patient6,VS02,241,0.0424519992954025,False,,,,False
patient6,VS03,28,0.004932182490752158,False,,,,False
patient6,VS04,50,0.008807468733485996,False,,,,False
patient6,VS05,2643,0.4655627972520698,True,,,,False
patient6,VS07,70,0.012330456226880395,False,,,,False
patient6,VS08,2045,0.36022547119957726,True,,,,False
patient6,VS09,19,0.0033468381187246785,False,,,,False
patient6,VS10,27,0.004756033116082438,False,,,,False
patient6,VS12,151,0.02659855557512771,False,,,,False
