drug_id,n_patients,spearman
17-AAG (Tanespimycin),468,0.45807435455744083
A-674563,480,0.12819138043581255
ABT-737,246,-0.16922191460901967
AGI-5198,311,0.2362342924476502
AGI-6780,308,0.2768447384636061
AKT Inhibitor IV,88,0.35364097876244627
AMPK Inhibitor,90,0.4775831910957158
AT-101,86,0.026313554943213077
AT7519,465,0.13050740234156788
AZD1152-HQPA (AZD2811),474,0.4361923655747854
AZD1480,475,0.216900466400139
Afatinib (BIBW-2992),478,0.22926008928598443
Alisertib (MLN8237),478,0.19922731170310098
Artemisinin,203,0.20178651163531924
Axitinib (AG-013736),498,0.4080819175418741
Azacytidine,381,0.26733207704378814
BEZ235,466,0.24817925285833706
BI-2536,116,0.19477099561747022
BLZ945,46,0.004626345603301216
BMS-345541,481,0.02104502146186921
BMS-754807,42,0.3975439851671172
Baiclein,46,-0.2640295965158046
Bay 11-7085,356,0.16554646110447604
Birinapant,87,0.1645197596786991
Bortezomib (Velcade),483,0.20151734546124855
Bosutinib (SKI-606),474,0.36596443660080197
CHIR-99021,476,0.06227955342179408
CI-1040 (PD184352),480,0.30841043587935024
CYT387,474,0.2664688315624208
Cabozantinib,469,0.5057259824024396
Canertinib (CI-1033),474,0.24198154112729925
Cediranib (AZD2171),473,0.32886363678115305
Crenolanib,463,0.46390005824621894
Crizotinib (PF-2341066),494,0.31461427706673806
Cytarabine,340,0.25676698897497935
DBZ,380,0.19922495097913248
Dasatinib,518,0.48542307769090365
Doramapimod (BIRB 796),473,0.32206783520451066
Dovitinib (CHIR-258),474,0.4897212732010041
Elesclomol,448,0.24154619029722116
Entospletinib (GS-9973),324,0.34744938295001737
Entrectinib,223,0.173638771129458
Erlotinib,507,0.41799261297824286
Etomoxir,45,0.15283012217036673
Flavopiridol,470,0.24536017426557186
Foretinib (XL880),472,0.4752011935038133
GDC-0879,475,0.0621808748271518
GDC-0941,441,0.3267301471551503
GSK-1838705A,472,0.26090839299318924
GSK-1904529A,471,0.07986205401960655
GSK-2879552,85,0.09556128122515867
GSK690693,464,0.1493335803119015
GW-2580,458,0.3475124910368381
Gefitinib,488,0.3630606948708271
Gilteritinib,287,0.385555302730194
Go6976,90,0.38699401156508123
H-89,430,0.1683020703022251
INK-128,476,0.3586507157781578
Ibrutinib (PCI-32765),460,0.3265448328078361
Idelalisib,465,0.3671693850252366
Imatinib,530,0.19862944301968383
Indisulam,118,-0.022398457348659775
JAK Inhibitor I,467,0.23715635159483914
JNJ-28312141,334,0.4392440010694956
JNJ-38877605,473,0.27235595774628557
JNJ-7706621,476,0.09091784047348973
JNK Inhibitor II,87,0.4458184867644694
JQ1,361,0.19786983555658327
KI20227,423,0.3286102608682928
KN92,90,0.11525116788808845
KN93,91,0.22558271023828202
KU-55933,471,0.2517813296301597
KW-2449,468,0.5049504139117843
LY-333531,433,0.3922208858041314
LY294002,91,0.28410344215380884
Lapatinib,485,0.26326140897608186
Lenalidomide,275,0.2819689704953849
Lenvatinib,355,0.41393164695471685
Lestaurtinib (CEP-701),89,0.38570790160039287
Linifanib (ABT-869),472,0.4267798844413152
Lovastatin,143,-0.04887613013211735
MGCD-265,466,0.4205576741755043
MK-2206,465,0.3400573813391089
MLN120B,472,0.14502570878167245
MLN8054,471,0.20257764780248663
Masitinib (AB-1010),467,0.28483574379119037
Metformin,44,0.24804924660319097
Midostaurin,480,0.35257117503573965
Motesanib (AMG-706),467,0.4039560760323321
NF-kB Activation Inhibitor,459,0.39217583677876705
NVP-ADW742,463,0.3096296805438492
NVP-AEW541,45,0.25124370582137273
NVP-TAE684,469,0.42382993476637454
Neratinib (HKI-272),472,0.19572172570032045
Nilotinib,496,0.34492201161299463
Nutlin 3a,333,0.20867969832040772
OTX-015,302,0.3798739601049134
Olaparib,150,0.013622468555794602
PD173955,472,0.23135413527013063
PH-797804,46,0.10776301025289631
PHA-665752,471,0.3621142793666524
PHT-427,466,0.17608994663846053
PI-103,471,0.29723657328329034
PLX-4720,93,0.25615296818585
PP2,90,0.2011236186707853
PP242,476,0.32735789744446503
PRT062607,466,0.3801628271673769
Palbociclib,305,0.39206809315035296
Panobinostat,296,0.43146868953723383
Pazopanib (GW786034),488,0.36016606705083715
Pelitinib (EKB-569),471,0.3525220662062767
Perhexiline maleate,38,-0.05668636497063726
Ponatinib (AP24534),322,0.369537048688001
Quizartinib (AC220),484,0.4145436716314753
RAF265 (CHIR-265),467,0.2562191189187405
Ralimetinib (LY2228820),43,0.22687965748677044
Ranolazine,46,-0.01440824397001956
Rapamycin,488,0.4947599466563902
Regorafenib (BAY 73-4506),469,0.4351123842533872
